,price
212,2427.139072499009
213,2754.727864906438
214,2662.9251453050365
215,2769.1567448301594
216,2706.534406153403
217,2613.006979111027
218,2499.079791101883
219,2499.079791101883
220,2549.942863843969
221,2549.942863843969
222,2315.410329257819
223,2315.410329257819
224,2149.445432104258
225,2149.445432104258
226,2208.9393854322625
227,2283.291776567821
228,2151.35942550622
229,2232.9601494213607
230,2232.9601494213607
231,2425.313482625384
232,2506.4461540678226
233,2506.4461540678226
234,2591.96139204568
235,2502.072441798038
236,2502.072441798038
237,2382.248314138622
238,2282.750930354431
239,2192.5026675661093
240,2101.9739846659795
241,2000.7206401663952
242,2140.578285590379
243,2140.578285590379
244,2140.578285590379
245,2325.5383665293634
246,2423.187061352121
247,2373.974001024897
248,2494.347318049573
249,2415.445325745958
250,2572.044080413601
251,2657.92380393847
252,2790.770672388388
253,2790.770672388388
254,2455.436951468831
255,2472.277653470899
256,2466.8360166959837
257,2614.894434752222
258,2443.589577915216
259,2356.247435661474
260,2211.527343239474
261,2366.175252858707
262,2492.1368981399964
263,2593.101847175841
264,2665.2891143045144
265,2712.467510498441
266,2893.458474794913
267,2634.0296684971736
268,2762.849620652777
269,2586.499877255301
270,2722.219610338137
271,2722.219610338137
272,2368.798736900452
273,2263.279206281539
274,2311.160362812192
275,2351.301262184856
276,2243.758066774602
277,2416.896852864131
278,2416.896852864131
279,2400.85619601791
280,2470.1778920913057
281,2548.537655107521
282,2476.830505538145
283,2476.830505538145
284,2397.068900357401
285,2397.068900357401
286,2360.006468134581
287,2469.5614125610664
288,2469.5614125610664
289,2539.062366154812
290,2513.834094798008
291,2346.8179519991445
292,2343.657758538472
293,2125.94135768437
294,2125.94135768437
295,2125.94135768437
296,1948.3597863325726
297,1846.11365463727
298,1835.9859781980151
299,1835.9859781980151
300,1835.9859781980151
301,1823.5840131726252
302,1904.764645644567
303,1904.764645644567
304,1822.5356161873333
305,1822.5356161873333
306,1822.5356161873333
307,1588.199709207048
308,1509.1731047036615
309,1509.1731047036615
310,1600.8260989145856
311,1710.5988257479478
312,1678.0179172180096
313,1678.0179172180096
314,1678.0179172180096
315,1625.9539755096234
316,1655.1108812763446
317,1512.4925660786632
318,1413.6910098350588
319,1413.6910098350588
320,1376.2017308848485
321,1445.3272063362244
322,1649.6823619260244
323,1649.6823619260244
324,1784.0264729003784
325,1784.0264729003784
326,1784.0264729003784
327,1871.2878932705044
328,1819.7519180759664
329,1819.7519180759664
330,1819.7519180759664
331,1819.7519180759664
332,1728.6398645166973
333,1844.332369879957
334,1844.332369879957
335,1844.332369879957
336,1844.332369879957
337,1889.3475121642425
338,1887.994862343974
339,1887.994862343974
340,1887.994862343974
341,1887.994862343974
342,2066.988427388418
343,2185.1787051099705
344,2288.6249862571835
345,2288.6249862571835
346,2045.6851298780166
347,1759.455715873
348,1759.455715873
349,1845.0713240849161
350,1798.597697586015
351,1798.597697586015
352,1754.2243445347242
353,1696.2228259801386
354,1748.5015845243647
355,1748.5015845243647
356,1748.5015845243647
357,1621.6329767722773
358,1660.0708712561593
359,1661.548232870867
360,1607.2645860812588
361,1653.5506659112332
362,1707.9789526859313
363,1699.8522658185889
364,1584.673617387045
365,1584.673617387045
366,1700.9790963331232
367,1755.3063385760674
368,1812.9937243745403
369,1865.8132070301133
370,1956.6837864795361
371,2019.0012236745004
372,2052.512572147213
373,1929.3967906135965
374,1929.3967906135965
375,1881.9850969976287
376,1881.9850969976287
377,1602.4137890511895
378,1644.2337875825388
379,1644.2337875825388
380,1808.319937359868
381,1808.319937359868
382,1691.432826341288
383,1615.288485107723
384,1588.4457891864358
385,1554.1884534984806
386,1554.1884534984806
387,1600.903187553089
388,1600.903187553089
389,1740.6568618725748
390,1740.6568618725748
391,1740.6568618725748
392,1934.9130230488568
393,1934.9130230488568
394,1934.9130230488568
395,1976.9165697920464
396,2033.7542330955068
397,2085.807468454158
398,1988.710425965404
399,2044.5326015846192
400,2044.5326015846192
401,2115.488959933288
402,2152.768151921609
403,2023.1443703306045
404,2109.183765458403
405,2066.588641226171
406,2178.124353118249
407,2152.056667397565
408,2127.2676781116124
409,2168.824746559393
410,2151.907816801512
411,2011.7374807104914
412,2012.9890904137135
413,1990.7967957850808
414,2009.490616948716
415,2064.2455072012112
416,2200.097817852236
417,2226.1818211212185
418,2272.242115373609
419,2146.653825699982
420,2241.0680914398567
421,2241.0680914398567
422,2106.672044626433
423,2237.2461459251085
424,2272.154891732469
425,2428.490144382879
426,2356.361278013473
427,2297.1724225572243
428,2310.6316094164263
429,2216.3961321627285
430,2216.3961321627285
431,1981.8907201302547
432,2214.026316176029
433,2166.261090648344
434,2166.261090648344
435,2166.261090648344
436,2192.5190562375096
437,2166.418260710835
438,2261.34806891267
439,2261.34806891267
440,2321.7528485711914
441,2321.7528485711914
442,2730.6010273424804
443,2730.6010273424804
444,2684.038548691456
445,2673.286928422852
446,2644.295449941476
447,2725.315582557946
448,2725.315582557946
449,2725.315582557946
450,2974.060504543672
451,2946.162517491759
452,2911.9771311459363
453,2966.1938655905988
454,2764.8615912753694
455,2764.8615912753694
456,2764.8615912753694
457,2952.059366527331
458,2983.563042507436
459,2983.563042507436
460,3005.677719842986
461,2865.5226699902532
462,3083.2872328391445
463,3279.005278789445
464,3499.119113055143
465,3654.1815305037153
466,3853.6236986181175
467,3822.90023862996
468,3381.7316661294512
469,3567.5373216058892
470,3567.5373216058892
471,3567.5373216058892
472,4476.761256391743
473,4476.761256391743
474,4476.761256391743
475,4092.5247877282013
476,3911.639200962902
477,3959.0488590721534
478,3870.904826192057
479,3870.904826192057
480,3830.69865337094
481,3794.1545103517683
482,3407.5386737503522
483,3407.5386737503522
484,3174.0898145799324
485,3256.42066548436
486,3166.6566531513704
487,2915.708149819809
488,2796.387681863447
489,2858.4302088522645
490,2802.776462726089
491,2802.776462726089
492,2591.9652232206868
493,2591.9652232206868
494,2773.7503702026647
495,2830.274192255921
496,2830.274192255921
497,2682.175666430124
498,2682.175666430124
499,2427.638396796912
500,2260.359882755968
501,2390.1365488160545
502,2139.2511121222374
503,2018.1745650927007
504,2033.8905493002767
505,1974.1126518244312
506,1925.12982285174
507,2328.6541449979377
508,2470.191325061557
509,2315.0960106790108
510,2266.022943185565
511,2266.022943185565
512,2377.931755240821
513,2345.6507028643978
514,2492.2625137819155
515,2390.121900498283
516,2465.099992584222
517,2539.331155404321
518,2539.331155404321
519,2657.0724688689693
520,2524.351143067984
521,2524.351143067984
522,2255.910046868937
523,2330.286520145753
524,2351.6562084166158
525,2320.5100648486577
526,2448.839006991417
527,2543.4940159517946
528,2410.7011019976308
529,2257.955601737356
530,2301.499634039413
531,2301.499634039413
532,2485.9308739183666
533,2463.904266314703
534,2463.904266314703
535,2618.04607182612
536,2618.04607182612
537,2616.378303711505
538,2646.0826080403344
539,2527.6849682681163
540,2560.7031446980122
541,2584.482648901993
542,2586.215175082466
543,2586.215175082466
544,2586.215175082466
545,2691.58810311214
546,2801.1910722603748
547,3037.962950883236
548,2933.476666623191
549,2778.4419159857957
550,2587.274386522009
551,2741.15320912418
552,2443.366002505953
553,2438.215774946997
554,2438.215774946997
555,2574.0220360406493
556,2542.30827751715
557,2379.938954421656
558,2533.9261209826363
559,2533.9261209826363
560,2533.9261209826363
561,2298.973742921403
562,2387.649776136897
563,2293.7996804363643
564,2436.462766220279
565,2574.3378377952736
566,2710.74529877827
567,2895.8759768465943
568,2700.98276796117
569,2871.5553961581813
570,2765.497746918043
571,2744.009961682077
572,2597.0243690465672
573,2500.4580608780257
574,2628.8003941216066
575,2780.7811122059197
576,2845.208680320123
577,2682.753592647383
578,2682.753592647383
579,2682.125548917298
580,2682.125548917298
581,2690.6929184944643
582,3094.5556471832965
583,3112.0469591149817
584,3228.361289196159
585,3164.537614930421
586,3306.37283077352
587,3529.174385426029
588,3529.174385426029
589,3529.174385426029
590,3529.174385426029
591,3165.0902865521557
592,2953.1661657402515
593,2953.1661657402515
594,2953.1661657402515
595,2953.1661657402515
596,2406.5281703258247
597,2630.79585096791
598,2562.9787912903016
599,2680.0823669101487
600,2809.599859427191
601,2809.599859427191
602,2634.314261901593
603,2604.8834322959783
604,2697.166602227416
605,2862.5869338052557
606,2847.502075387391
607,2734.4850749360103
608,2734.4850749360103
609,2656.5880042858857
610,2761.564268132459
611,2605.3496759157238
612,2484.420140901849
613,2484.420140901849
614,2484.420140901849
615,2311.543837708619
616,2311.543837708619
617,2394.0211966097672
618,2261.781882393319
619,2232.932002034266
620,2232.932002034266
621,2242.313959158845
622,2331.05575998698
623,2395.352764230417
624,2395.352764230417
625,2395.352764230417
626,2395.352764230417
627,2130.8506995895427
628,2198.299397936657
629,2282.320778975137
630,2303.324469710177
631,2303.324469710177
632,2605.2021372408467
633,2711.8770685557997
634,2750.343606953911
635,2700.5738270599145
636,2678.5648623081893
637,2567.2871129233567
638,2409.5115799399327
639,2411.166865194486
640,2411.166865194486
641,2318.455220341922
642,2261.508654561937
643,2463.653637075287
644,2362.7114088883545
645,2362.7114088883545
646,2404.958252259567
647,2694.608203690769
648,2815.3736102332764
649,2893.2049732563896
650,2893.2049732563896
651,2616.861856821934
652,2635.399999871244
653,2814.595331823665
654,2814.595331823665
655,2814.595331823665
656,2814.595331823665
657,2671.925987602229
658,2634.49058344564
659,2535.2288729914067
660,2398.539553933786
661,2398.539553933786
662,2023.5775984982504
663,1973.0518855900848
664,1973.0518855900848
665,2017.2550477568716
666,2073.241702790129
667,2402.9430729564224
668,2297.9434783270362
669,2191.560964235144
670,2337.1698587502287
671,2321.517870151972
672,2391.4180018103825
673,2254.473789517457
674,2225.0183724002827
675,2225.0183724002827
676,2226.5537876156427
677,2117.175681643056
678,2031.3020436663705
679,2031.3020436663705
680,2031.3020436663705
681,2122.070033639042
682,2260.8671080393874
683,2260.8671080393874
684,2260.8671080393874
685,2542.5721107450017
686,2497.4220752667484
687,2719.8050207154897
688,2691.949738457998
689,2621.7860784349514
690,2457.6187081277108
691,2479.985932870505
692,2532.178141727532
693,2532.178141727532
694,2532.178141727532
695,2532.178141727532
696,2532.178141727532
697,2447.0240063273304
698,2288.759007798324
699,2288.759007798324
700,2075.952610680452
701,1997.4730757602688
702,1841.9299784308653
703,1783.2806860255835
704,1804.489481841413
705,1804.489481841413
706,1804.489481841413
707,1608.6278429945623
708,1670.9168778173362
709,1609.317276733314
710,1707.1759356612067
711,1790.5119524728198
712,1695.691871536139
713,1695.691871536139
714,1695.691871536139
715,1766.7053107362494
716,1687.6106500951435
717,1672.2915711558967
718,1722.6835742120684
719,1648.8241100106409
720,1706.2498373901474
721,1794.5749574736926
722,1688.6964820408566
723,1788.4325069805504
724,1888.868305811774
725,1888.868305811774
726,1827.3599994010785
727,2040.648085028141
728,2123.614724129038
729,2235.669923770025
730,2229.3506796829643
731,2350.361224279307
732,2296.069232768059
733,2296.069232768059
734,2507.696913563428
735,2507.696913563428
736,2221.406148950721
737,2310.986904668004
738,2365.526141649486
739,2495.882173099305
740,2416.0169308265786
741,2528.858566431484
742,2681.190755461372
743,2582.773631091528
744,2632.673106711719
745,2502.479661808313
746,2629.582274811148
747,2764.848486512077
748,2700.123882246924
749,2700.123882246924
750,2700.123882246924
751,3022.2221817838677
752,3173.194725788472
753,3194.472484615247
754,3107.523571710805
755,3284.806916752486
756,3284.806916752486
757,3061.0742802968516
758,3243.737109584029
759,3366.126060735469
760,3197.083915826748
761,3326.9543710099897
762,3502.504631115703
763,3719.122743557169
764,3719.122743557169
765,3724.028527989634
766,3878.5870962657646
767,4233.7224012911765
768,4233.7224012911765
769,4233.7224012911765
770,4150.72819930583
771,4140.8523781687045
772,3788.735951805733
773,3880.3246104743453
774,4074.406877213158
775,4101.7576377454825
776,4228.240027362774
777,4058.443456631957
778,4045.2161676097553
779,3854.999279190337
780,3677.9743879976695
781,3677.9743879976695
782,3562.102817026286
783,3463.8162819944905
784,3473.6768448361363
785,3558.2745510443683
786,3558.2745510443683
787,3267.1841158736743
788,3102.205618565521
789,3287.628928672996
790,3287.628928672996
791,3287.628928672996
792,3470.0382232702736
793,3470.0382232702736
794,3616.3313124841247
795,3617.512206580666
796,3617.512206580666
797,3011.7696699443572
798,3207.6746872350427
799,3319.2755446819897
800,3215.189750600633
801,3262.9425635804737
802,3203.603419033188
803,3203.603419033188
804,3295.194344169622
805,3116.795376776582
806,3235.0204364768792
807,3374.596080709295
808,3611.4705786233003
809,3632.7860240163814
810,3632.7860240163814
811,4002.847992630079
812,4302.074605093614
813,4396.686088740427
814,4099.849235414276
815,4099.849235414276
816,4099.849235414276
817,4815.545232025836
818,4697.401630888979
819,4595.6564836085745
820,4570.974429205497
821,4570.974429205497
822,4417.282320157918
823,4296.852528409175
824,4136.659717948266
825,3977.619377767752
826,3977.619377767752
827,4363.18718715478
828,4078.515831140082
829,4086.849696425178
830,4049.387285270225
831,4049.387285270225
832,4225.377505908447
833,4193.412078676897
834,4428.601908522251
835,4709.237637705566
836,4709.237637705566
837,5154.249807806907
838,4840.7865270363645
839,4901.639880604363
840,5242.901500292077
841,4889.8691910850985
842,4436.441380087763
843,4088.706192053922
844,4088.706192053922
845,3765.4077092989723
846,3765.4077092989723
847,3692.237573313305
848,3692.237573313305
849,3692.237573313305
850,3652.448927681035
851,3754.134677224131
852,3753.4837710045454
853,3753.4837710045454
854,3744.2356090861513
855,3482.8711343803197
856,3286.7731657603917
857,3622.1623706526343
858,3780.745187546226
859,3726.2741353649785
860,3889.2107999749187
861,3924.471562704488
862,3777.273119027635
863,3974.3096496690273
864,4246.556569882484
865,4532.924592141076
866,4532.924592141076
867,4456.313935632756
868,4720.797466523939
869,4720.797466523939
870,5196.158973168667
871,5196.158973168667
872,5682.676301113001
873,5652.165089983735
874,5652.165089983735
875,5652.165089983735
876,5808.2679295365515
877,5632.258957640705
878,5632.258957640705
879,5632.258957640705
880,5514.464138702948
881,5514.464138702948
882,4605.6604243890115
883,4539.581548561442
884,4530.635483773005
885,4836.5893576341105
886,4951.3213031244
887,4821.709659567145
888,4544.31304956344
889,4567.035283106626
890,4703.985973192861
891,4859.512331748632
892,4734.315416398227
893,4780.863758542234
894,4485.054649222844
895,4485.054649222844
896,4485.054649222844
897,5037.200629081474
898,5037.200629081474
899,5037.200629081474
900,5070.658039507006
901,4786.0876287418705
902,4358.417988428056
903,4113.3833573761685
904,4010.311527412447
905,4152.96880207125
906,4055.385166550974
907,4147.549224817519
908,4147.549224817519
909,4341.937779699843
910,4579.313516642549
911,4373.475449375226
912,4453.738462599895
913,4453.738462599895
914,4453.738462599895
915,4846.854326844005
916,4861.529515266277
917,5051.880788792401
918,5051.880788792401
919,5298.551796284767
920,5397.491723302097
921,5397.491723302097
922,5843.038495998745
923,5702.014749970898
924,5702.014749970898
925,5702.014749970898
926,5981.538238394714
927,6088.225340593749
928,5835.055976370383
929,5521.76269515161
930,5521.76269515161
931,5850.219001047153
932,5989.9454173269105
933,5581.285904574438
934,5834.502744298164
935,6125.9607987390345
936,5906.31081486429
937,5798.015014233049
938,6046.973558052444
939,5826.3099821997985
940,6113.627836536904
941,6350.6859029178795
942,5746.863970170724
943,5746.863970170724
944,5746.863970170724
945,6284.840097950214
946,6284.840097950214
947,6487.93614843759
948,6487.93614843759
949,5976.39903847782
950,6316.92381299648
951,6316.92381299648
952,5627.1412602190685
953,5810.536448621066
954,5425.009165692724
955,5416.867245837838
956,5718.7426604926
957,5769.722760026695
958,5611.4282728700855
959,5567.074394725182
960,5516.206323832154
961,5816.1739497976905
962,5504.193874886669
963,5231.540403574418
964,4948.755142038062
965,4633.888488584251
966,4835.803384445039
967,5088.242862427862
968,5176.350394887877
969,5148.299692075379
970,5342.425935341582
971,5342.425935341582
972,5490.329851637569
973,5465.0538445800985
974,5465.0538445800985
975,5465.0538445800985
976,5465.0538445800985
977,5781.344804863758
978,6176.148994649983
979,5774.456655082108
980,5418.923128833423
981,5502.371750524964
982,6334.789955768134
983,6334.789955768134
984,6737.14623809217
985,6349.943482130739
986,6349.943482130739
987,5583.023558711308
988,5678.776693316865
989,5678.776693316865
990,5584.452089331023
991,5892.882606696318
992,5892.882606696318
993,5673.771066193019
994,5894.634172317397
995,6141.816663636655
996,5760.380762580236
997,5293.54383709939
998,5087.1306643240005
999,5402.162163415366
1000,5402.162163415366
1001,5534.573922510503
1002,5790.461759487267
1003,5790.461759487267
1004,5428.598874622056
1005,5155.030756497742
1006,5155.030756497742
1007,4778.763231253813
1008,4506.280174616326
1009,4468.186213455193
1010,4767.739474881114
1011,5004.376326393146
1012,5747.898239462556
1013,6092.79708375347
1014,6406.760501414806
1015,6092.162327958979
1016,5791.979572884987
1017,5184.665348107285
1018,5184.665348107285
1019,5184.665348107285
1020,5293.014837469653
1021,5159.011825874362
1022,5797.920853849781
1023,5910.755495020879
1024,6159.694833357697
1025,6297.888542232157
1026,6297.888542232157
1027,6316.830838529962
1028,5890.4292598862485
1029,5939.0404461194385
1030,5547.830755230175
1031,5547.830755230175
1032,5299.331533127471
1033,5209.807451236965
1034,5209.807451236965
1035,5289.275747111547
1036,5161.823683078736
1037,4813.4056562398655
1038,5106.954941782375
1039,5240.57078272908
1040,5031.366889750307
1041,5379.894273245301
1042,5105.351536866992
1043,5105.351536866992
1044,5105.351536866992
1045,5193.042106387332
1046,5193.042106387332
1047,5025.576705386317
1048,4827.346278403343
1049,5062.240505125404
1050,5062.240505125404
1051,5556.914320063303
1052,5111.085404427883
1053,5111.085404427883
1054,5111.085404427883
1055,5111.085404427883
1056,5111.085404427883
1057,4969.970620477663
1058,4635.920840478705
1059,4635.920840478705
1060,5014.293262383942
1061,5017.334070672144
1062,4598.936737942764
1063,4456.344806869022
1064,4486.008803490445
1065,4575.684794376377
1066,4573.940808647797
1067,4197.163687486007
1068,4197.163687486007
1069,4086.455666448277
1070,4259.405768770704
1071,3982.192444055666
1072,4137.688101651919
1073,4130.7168931510905
1074,4128.621853013069
1075,4000.894658569798
1076,4071.8854486076593
1077,3768.5188037778003
1078,3768.5188037778003
1079,3940.736555559135
1080,3883.2463489168535
1081,3939.607260996385
1082,4021.868545329979
1083,4278.125110788783
1084,4329.015650626287
1085,4327.957398295471
1086,4167.118487276455
1087,4380.530080807552
1088,3980.8172405684295
1089,3873.0777339218357
1090,3649.4541085893798
1091,3673.5190345656415
1092,4035.758566927273
1093,4063.744116924351
1094,4286.664813965253
1095,4115.529058835205
1096,4025.895279274397
1097,3728.596875868013
1098,3728.596875868013
1099,3483.9297687697435
1100,3276.2759212002275
1101,3388.940220856074
1102,3406.052381330849
1103,3406.052381330849
1104,3406.052381330849
1105,3158.875352118408
1106,3146.7149729883317
1107,3398.4454489874383
1108,3633.8772983910053
1109,3633.8772983910053
1110,3446.8182835077723
1111,3336.1647719113953
1112,3462.2667157043925
1113,3462.2667157043925
1114,3375.523999832156
1115,3188.209020601341
1116,3188.209020601341
1117,3216.0042210921647
1118,3381.9340120164597
1119,3381.9340120164597
1120,3163.7971879851725
1121,3375.9224449867606
1122,3159.804710846837
1123,3272.6294274628967
1124,3323.7507432740504
1125,3543.0824722405823
1126,3601.023558090169
1127,3607.4356660438293
1128,3374.665820634525
1129,3370.149867601161
1130,3326.642993972171
1131,3363.124318729765
1132,3036.9474401181687
1133,2838.302274378462
1134,2939.7656049678117
1135,2921.171795269073
1136,2730.2163223802336
1137,2814.181966179443
1138,2837.927314237459
1139,2803.6083113614463
1140,2790.5105864165166
1141,2624.682242361377
1142,2468.614685786421
1143,2420.1632050305184
1144,2420.1632050305184
1145,2413.060041322677
1146,2336.3897871701033
1147,2491.287416998115
1148,2252.937914676376
1149,2252.937914676376
1150,2162.8249669383413
1151,2185.5353365689284
1152,2126.76876908683
1153,2338.526241805151
1154,2176.8211074268806
1155,2176.8211074268806
1156,2318.2801672738497
1157,2477.906009418279
1158,2439.2730796050755
1159,2318.999873941029
1160,2341.691623124487
1161,2204.0941957244136
1162,1835.8110278930533
1163,1903.46504300666
1164,1903.46504300666
1165,1931.2260914617505
1166,1963.450894680712
1167,1878.8460652180872
1168,1800.146929944589
1169,1695.9774216542462
1170,1715.5676811011194
1171,1598.9242812816985
1172,1680.1638835650595
1173,1680.1638835650595
1174,1645.2936407361567
1175,1653.1496878925698
1176,1696.9340036465956
1177,1899.5069780696526
1178,2042.4341480339028
1179,1953.0450482397207
1180,1883.5549088732816
1181,1972.8071861532726
1182,1903.6735857043
1183,1903.6735857043
1184,1863.1293628315016
1185,1810.899180184471
1186,1862.7453323062423
1187,1771.3650046268024
1188,1715.3218629538242
1189,1632.7715347432807
1190,1562.0325377929416
1191,1562.0325377929416
1192,1599.2568964501547
1193,1564.829137058793
1194,1652.7428534883468
1195,1585.7835908876802
