,price
0,60.0
1,60.0
2,57.54207026990746
3,57.54207026990746
4,63.330444786342646
5,60.440654934661644
6,55.94448432716983
7,44.42670648513648
8,44.42670648513648
9,48.62856886085073
10,51.37035715917905
11,48.54844853569561
12,41.1301459499768
13,42.29132229177493
14,43.964822015929
15,43.964822015929
16,36.40888900241392
17,45.40303932967095
18,49.55478075378379
19,54.29711595536622
20,55.64714099721896
21,55.64714099721896
22,56.78960109927218
23,56.78960109927218
24,55.51346095390704
25,52.27045129239112
26,49.84685091409026
27,47.185668445383605
28,51.64998444510624
29,51.825556337200524
30,51.825556337200524
31,48.838891199548776
32,50.7261187985346
33,48.86446360280353
34,45.20206813305303
35,42.01618899911928
36,40.01267178351301
37,36.93873502761999
38,35.60751868379802
39,35.60751868379802
40,35.60751868379802
41,35.60751868379802
42,30.123230598529247
43,30.123230598529247
44,32.99121116984852
45,30.072429893665266
46,30.02205905934548
47,28.983915943417465
48,26.531902415051984
49,24.253278345433426
50,22.6090690478552
51,20.740073152499487
52,17.854429709933157
53,17.854429709933157
54,18.44178436464077
55,19.16569576259064
56,18.531430479535736
57,19.124396153131983
58,19.124396153131983
59,22.368328707528054
60,23.30836294658308
61,25.219460779381198
62,25.775333146843515
63,26.62559704763893
64,26.152374627370282
65,28.000928899546924
66,25.40842882082229
67,26.790453124089375
68,24.2086200999546
69,24.55556691787446
70,24.376816428817147
71,24.376816428817147
72,28.40084284179881
73,27.297563888521427
74,25.464680409963588
75,26.16504626053491
76,26.16504626053491
77,23.269129786081727
78,23.54112104906281
79,24.952351818812016
80,23.86658129319368
81,22.469196738687906
82,25.57360718241347
83,25.529054649239484
84,26.05706665706249
85,28.579820456182656
86,28.63146279375084
87,27.73475027774909
88,29.67300029324448
89,29.67300029324448
90,29.67300029324448
91,26.56826847113423
92,26.36374239789169
93,26.36374239789169
94,23.62923140956514
95,21.735819014285745
96,21.88294959287084
97,21.985291634257397
98,21.985291634257397
99,25.11579540865535
100,24.205809790266017
101,26.415522358778638
102,26.40789784286785
103,26.40789784286785
104,25.65223722917139
105,25.5593533541582
106,25.5593533541582
107,21.41853665624921
